Title,Company,Location,Date,URL
Director of Communications and Marketing,Hargrave Military Academy,"Chatham, Virginia",4 Weeks Ago,https://careers.journalists.org/jobs/11522618/director-of-communications-and-marketing
Director of Marketing and Communications,Hargrave Military Academy,"Chatham, Virginia",4 Weeks Ago,https://careers.journalists.org/jobs/11522631/director-of-marketing-and-communications
Web Technology Specialist,National Confectioners Association,"Washington, DC",3 Weeks Ago,https://careers.journalists.org/jobs/11538406/web-technology-specialist
Digital Fundraising Manager,American Friends Service Committee,"Philadelphia, Pennsylvania",3 Weeks Ago,https://careers.journalists.org/jobs/11542738/digital-fundraising-manager
Development and Communications Associate,City and Country School,"New York, New York",3 Weeks Ago,https://careers.journalists.org/jobs/11551346/development-and-communications-associate
Director of Annual Giving and Alumni Relations,Mirman School,"Los Angeles, California",1 Week Ago,https://careers.journalists.org/jobs/11602491/director-of-annual-giving-and-alumni-relations
Faculty Position in Digital Journalism and Emerging Media,Northwestern University in Qatar,"Education City, Qatar",2 Days Ago,https://careers.journalists.org/jobs/11617571/faculty-position-in-digital-journalism-and-emerging-media
Assistant Dean of Marketing and Communications,Johns Hopkins University,"Baltimore, Maryland",5 Months Ago,https://careers.journalists.org/jobs/11083475/assistant-dean-of-marketing-and-communications
Digital Communications Strategist,Davidson College,NC,1 Month Ago,https://careers.journalists.org/jobs/11467538/digital-communications-strategist
Social Media Manager,Davidson College,NC,3 Weeks Ago,https://careers.journalists.org/jobs/11548497/social-media-manager
Data Journalist Intern,Associated Press,"Washington, DC",19 hours ago,https://www.indeed.com/viewjob?jk=38f86dae75d6cf6b
Data Entry Intern,Scholars Strategy Network,"Cambridge, MA 02139 (Area IV area)",3 days ago,https://www.indeed.com/viewjob?jk=5fb39ecce471ba99
Summer 2019 Data Science Newsroom Internship at The Wall Street Journal,Dow Jones,"New York, NY 10176 (Murray Hill area)",30+ days ago,https://www.indeed.com/viewjob?jk=dd0b79100dd35040
Business Intelligence Intern,Consumer Brands,United States,22 days ago,https://www.indeed.com/viewjob?jk=ad7e475c28ea1a37
Sports Intern,Associated Press,New York State,19 hours ago,https://www.indeed.com/viewjob?jk=0282c4d29afb64d3
WAMU Spring 2019 Internship Program,American University,"Washington, DC 20016 (AU-Tenleytown area)",22 hours ago,https://www.indeed.com/viewjob?jk=f99c8ed9745414e6
Metro Reporting Internship - Summer 2019,"Star Tribune Media Company, LLC.","Minneapolis, MN",30+ days ago,https://www.indeed.com/viewjob?jk=44313c7c3eed2d9c
Business Reporting Internship - Summer 2019,"Star Tribune Media Company, LLC.","Minneapolis, MN",30+ days ago,https://www.indeed.com/viewjob?jk=dc433dea12f1c757
Print Design Internship - Summer 2019,"Star Tribune Media Company, LLC.","Minneapolis, MN",30+ days ago,https://www.indeed.com/viewjob?jk=9baf94a8735cf703
Editorial Intern- Everyday Health,Everyday Health,"New York, NY 10014 (West Village area)",27 days ago,https://www.indeed.com/viewjob?jk=2479a3ee044380a2
"Intern, Social Media",AccuWeather,"State College, PA",16 days ago,https://www.indeed.com/viewjob?jk=dc764dc7ff136e2e
Digital Producer Internship - Summer 2019,"Star Tribune Media Company, LLC.","Minneapolis, MN",30+ days ago,https://www.indeed.com/viewjob?jk=b395928118db4291
Asst. Leveraged Loan Analyst,S&P Global,"New York, NY",30+ days ago,https://www.indeed.com/viewjob?jk=ff6adca4804b94d2
Institutional Giving Intern - Winter/Spring 2019,NPR,"Washington, DC",23 days ago,https://www.indeed.com/viewjob?jk=1a5a62d48b943ff1
Spring Intern: Open Source Policy Center,American Enterprise Institute,"Washington, DC 20036 (Downtown area)",17 days ago,https://www.indeed.com/viewjob?jk=5fe3d2af38b6c9d1
Spring Media Research Intern,Save the Children,"Washington, DC",24 days ago,https://www.indeed.com/viewjob?jk=562f3ae8b5f4df61
Asst. Leveraged Loan Analyst,S&P GLOBAL MARKET INTELLIGENCE,"New York, NY 10041 (Financial District area)",30+ days ago,https://www.indeed.com/viewjob?jk=2ee64565d1646dbd
"Jr. Content Marketer and Promoter (Harrisburg, PA)",WebpageFX,"Harrisburg, PA",7 days ago,https://www.indeed.com/viewjob?jk=2f344ba5b1d5d592
"Jr Online PR Specialist (Digital Public Relations / Blogger) (Harrisburg, PA)",WebpageFX,"Harrisburg, PA",7 days ago,https://www.indeed.com/viewjob?jk=f4f01cd9ba26acfd
"Assistant Director, Career Services",Columbia University,"New York, NY",2 days ago,https://www.indeed.com/viewjob?jk=35e101a2650385ef
Data Journalist Internship,Turbine Labs,"Greenwood Village, CO",23 days ago,https://www.indeed.com/viewjob?jk=beba161137baf2d1
General Marketing Internship,"MPOWERD, Inc.","New York, NY",19 hours ago,https://www.indeed.com/viewjob?jk=f4cb951275d497d0
Journalism Internship,Queens Of Kings Agency,"Atlanta, GA",6 days ago,https://www.indeed.com/viewjob?jk=054139ddbaef3ea7
Systems Engineer - Internship,Cloudflare,"Austin, TX",30 days ago,https://www.indeed.com/viewjob?jk=c8d458f38e8b1c8c
Part-Time Journalist Intern,"CMMS Data Group, Inc.","Chicago, IL",30+ days ago,https://www.indeed.com/viewjob?jk=248f05af1e6285e4
Part-Time Journalist Intern,CMMS Data Group,"Chicago, IL",30+ days ago,https://www.indeed.com/viewjob?jk=e742c878666927c0
Marketing & Business Development Internship,Studyportals,"Boston, MA",30+ days ago,https://www.indeed.com/viewjob?jk=a2a22fd0516843f6
"STUDENT INTERNSHIP MARKETING, JOURNALISM AND WEBSITE S.E.O.",Certified Accounting,"Chicago, IL",15 days ago,https://www.indeed.com/viewjob?jk=b929e03b3a07a3f8
"Analyst, Domain Expert",Dataminr,"Seattle, WA",30+ days ago,https://www.indeed.com/viewjob?jk=11a8236ba59baa92
"Intern (HR, Finance & Investment, Marketing, and Technology)",Jetzy,"New York, NY",30+ days ago,https://www.indeed.com/viewjob?jk=8afcfebeccb2926c
Graphic design intern,Insider Inc.,"New York, NY 10006 (Financial District area)",30+ days ago,https://www.indeed.com/viewjob?jk=f4ce6eb137f00f43
Strategic Communications Internship,The University of South Alabama,"Mobile, Alabama",1 Week Ago,https://careers.journalists.org/jobs/11598678/strategic-communications-internship
AMSA 2019 Summer Communication Internship Opportunities,American Meat Science Association,"Champaign, Illinois",2 Weeks Ago,https://careers.journalists.org/jobs/11577124/amsa-2019-summer-communication-internship-opportunities
2019 Macquarie Summer Internship Programme - EMEA,Macquarie Group,"London, United Kingdom",1 Week Ago,https://careers.journalists.org/jobs/11583826/2019-macquarie-summer-internship-programme-emea
Data Analyst,Memorial Sloan-Kettering Cancer Center,"New York, New York",2 Months Ago,https://careers.journalists.org/jobs/11315414/data-analyst
Assistant Professor - Data Journalism,Syracuse University,"Syracuse, New York",Yesterday,https://careers.journalists.org/jobs/11620737/assistant-professor-data-journalism
Sr. Data Scientist,Memorial Sloan-Kettering Cancer Center,"New York, New York",5 Months Ago,https://careers.journalists.org/jobs/10983607/sr-data-scientist
Digital Communications Data Analyst,National Association of Manufacturers (NAM),"Washington, D.C.",3 Months Ago,https://careers.journalists.org/jobs/11256389/digital-communications-data-analyst
Ops Research Engineer/ Data Scientist,Memorial Sloan-Kettering Cancer Center,"New York, New York",3 Months Ago,https://careers.journalists.org/jobs/11286625/ops-research-engineer-data-scientist
Assistant Professor in Computer and Information Science (CIS) - Data Science F19,University of Michigan - Dearborn,"Dearborn, Michigan",Today,https://careers.journalists.org/jobs/11625639/assistant-professor-in-computer-and-information-science-cis-data-science-f19
Assistant Professor in Computer and Information Science (CIS) - Data Management F19,University of Michigan - Dearborn,"Dearborn, Michigan",Today,https://careers.journalists.org/jobs/11625641/assistant-professor-in-computer-and-information-science-cis-data-management-f19
Web producer,Pensions & Investments,"Chicago, Illinois",2 Weeks Ago,https://careers.journalists.org/jobs/11567336/web-producer
"Senior Editor and Digital Content Strategist, HBS Working Knowledge",Harvard Business School,"Boston, Massachusetts",3 Weeks Ago,https://careers.journalists.org/jobs/11538403/senior-editor-and-digital-content-strategist-hbs-working-knowledge
"Associate Producer, MPR News Talk Shows",American Public Media,"St. Paul, Minnesota",1 Week Ago,https://careers.journalists.org/jobs/11589359/associate-producer-mpr-news-talk-shows
"General Assignment Reporter, KABC-TV",ABC7 Los Angeles,"Glendale, California",3 Weeks Ago,https://careers.journalists.org/jobs/11543573/general-assignment-reporter-kabc-tv
Assistant or Associate Professor of Journalism /  Digital Media - 999062,Drake University,"Des Moines, Iowa",1 Month Ago,https://careers.journalists.org/jobs/11471138/assistant-or-associate-professor-of-journalism-digital-media-999062
"Orange County Reporter, KABC-TV",ABC7 Los Angeles,"Orange, California",6 Days Ago,https://careers.journalists.org/jobs/11606120/orange-county-reporter-kabc-tv
Administrative Assistant,Online News Association,"Washington, D.C.",6 Months Ago,https://careers.journalists.org/jobs/10906369/administrative-assistant
Interactive News Developer,Voice of America,"Washington, D.C.",2 Weeks Ago,https://careers.journalists.org/jobs/11576552/interactive-news-developer
Content & News Writer - Asset Management,Morgan McKinley,"London, United Kingdom",Today,https://careers.journalists.org/jobs/11622779/content-news-writer-asset-management
"Senior Editor and Digital Content Strategist, HBS Working Knowledge",Harvard University Business School,USA - MA - Boston,1 Month Ago,https://careers.journalists.org/jobs/11464243/senior-editor-and-digital-content-strategist-hbs-working-knowledge
Professional in Residence (Content Adviser),Louisiana State University,"Baton Rouge, Louisiana",3 Days Ago,https://careers.journalists.org/jobs/11613288/professional-in-residence-content-adviser
WDET Digital Content Communities Specialist,Wayne State University,"Detroit, Michigan",3 Months Ago,https://careers.journalists.org/jobs/11265848/wdet-digital-content-communities-specialist
"Associate Producer, MPR News #152-19",Minnesota Public Radio,"St. Paul, Minnesota",1 Week Ago,https://careers.journalists.org/jobs/11602122/associate-producer-mpr-news-152-19
Strategic Partnerships Coordinator,Online News Association,"Washington, D.C.",6 Months Ago,https://careers.journalists.org/jobs/10906444/strategic-partnerships-coordinator
Chief Revenue Officer,The MarkUp,"New York, New York",Yesterday,https://careers.journalists.org/jobs/11621503/chief-revenue-officer
Podcast Producer,University of Chicago,"Chicago, Illinois",2 Months Ago,https://careers.journalists.org/jobs/11379207/podcast-producer
Digital Content Creator,Harvard University Graduate School of Education,USA - MA - Cambridge,Today,https://careers.journalists.org/jobs/11622536/digital-content-creator
Content and Social Media Manager,Stanford University,"Stanford, California",3 Months Ago,https://careers.journalists.org/jobs/11228284/content-and-social-media-manager
Writer and Media Specialist (7477U) Job 25438 - CoE/ College Relations,University of California Berkeley,"Berkeley, California",2 Months Ago,https://careers.journalists.org/jobs/11330139/writer-and-media-specialist-7477u-job-25438-coe-college-relations
Senior Product Designer,Dow Jones,"New York, New York",2 Weeks Ago,https://careers.journalists.org/jobs/11559444/senior-product-designer
Communications Associate,NABCA,"Alexandria, Virginia",4 Weeks Ago,https://careers.journalists.org/jobs/11522370/communications-associate
"Sr. Manager, Audience Engagement (15047)",American University,"Washington, D.C.",1 Month Ago,https://careers.journalists.org/jobs/11446728/sr-manager-audience-engagement-15047
College Connections Coordinator,University of Michigan - Ann Arbor,"Ann Arbor, Michigan",2 Days Ago,https://careers.journalists.org/jobs/11617041/college-connections-coordinator
Software Engineer,Confluence,"Pittsburgh, Pennsylvania",1 Week Ago,https://careers.journalists.org/jobs/11602685/software-engineer
"Tenure-Track Assistant Professor of Mass Communication - Journalism Program- commencing September 1, 2019",St. John's University,"Jamaica, New York",1 Month Ago,https://careers.journalists.org/jobs/11480672/tenure-track-assistant-professor-of-mass-communication-journalism-program-commencing-september-1-2019
Career Partnerships and Operations Coordinator,Mills College,"Oakland, California",2 Months Ago,https://careers.journalists.org/jobs/11362239/career-partnerships-and-operations-coordinator
Science & Technology Writer/ Editor,Lawrence Berkeley National Laboratory,"Berkeley, Nationwide, United States",1 Week Ago,https://careers.journalists.org/jobs/11599333/science-technology-writer-editor
Public Relations Account Executive,"Kahn Media, Inc.","Moorpark, California",3 Weeks Ago,https://careers.journalists.org/jobs/11532919/public-relations-account-executive
Digital Editor,The Salt Lake Tribune,"Salt Lake City, Utah",4 Days Ago,https://careers.journalists.org/jobs/11610492/digital-editor
"MULTI-PLATFORM EDITOR, WBUR Program & Production",Boston University,"BOSTON, Massachusetts",Yesterday,https://careers.journalists.org/jobs/11619075/multi-platform-editor-wbur-program-production
Marketing and Communications Coordinator,Association for Research in Vision and Ophthalmology,"Rockville, MD",3 Weeks Ago,https://careers.journalists.org/jobs/11551242/marketing-and-communications-coordinator
Breaking News/ Crime Reporter,PA Media Group,"Mechanicsburg, Pennsylvania",4 Weeks Ago,https://careers.journalists.org/jobs/11480151/breaking-news-crime-reporter
Public Relations Coordinator,The University of South Carolina,"Columbia, South Carolina",2 Months Ago,https://careers.journalists.org/jobs/11378015/public-relations-coordinator
"Design News Editor and Assistant Director, Communications",Harvard University Graduate School of Design,USA - MA - Cambridge,3 Months Ago,https://careers.journalists.org/jobs/11287573/design-news-editor-and-assistant-director-communications
"Reporter, Maryland (15017)",American University,"Washington, D.C.",1 Month Ago,https://careers.journalists.org/jobs/11417350/reporter-maryland-15017
"Program Coordinator, THE REAL CHI",Free Spirit Media,"Chicago, Illinois",1 Week Ago,https://careers.journalists.org/jobs/11589220/program-coordinator-the-real-chi
Topics Editor,Colorado Public Radio,"Denver Metro, Colorado",3 Weeks Ago,https://careers.journalists.org/jobs/11538031/topics-editor
"Assistant Editor, The Nation’s Health",American Public Health Association,"Washington, D.C.",1 Month Ago,https://careers.journalists.org/jobs/11490194/assistant-editor-the-nation-s-health
Media Relations Specialist,Columbia University,"New York, New York",4 Months Ago,https://careers.journalists.org/jobs/11114983/media-relations-specialist
Communications Specialist,Stanford University,"Stanford, California",3 Months Ago,https://careers.journalists.org/jobs/11276544/communications-specialist
RESEARCH BIOINFORMATICS SOFTWARE ENGINEER,University of Washington,"Seattle, Washington",2 Weeks Ago,https://careers.journalists.org/jobs/11560423/research-bioinformatics-software-engineer
Bioinfo Engineer II /  Computational Research Scientist,Memorial Sloan-Kettering Cancer Center,"New York, New York",4 Weeks Ago,https://careers.journalists.org/jobs/11519834/bioinfo-engineer-ii-computational-research-scientist
Biomedical Semantic Applications Programmer,"University of California, San Diego","La Jolla, California",1 Week Ago,https://careers.journalists.org/jobs/11580441/biomedical-semantic-applications-programmer
"Care Coordinator I, Pediatrics",Memorial Sloan-Kettering Cancer Center,"New York, New York",1 Week Ago,https://careers.journalists.org/jobs/11590761/care-coordinator-i-pediatrics
"Gobo Lead Developer, Center for Civic Media",Massachusetts Institute of Technology (MIT),"Cambridge, Massachusetts",1 Month Ago,https://careers.journalists.org/jobs/11491006/gobo-lead-developer-center-for-civic-media
Programmer,Columbia University,"New York, New York",Yesterday,https://careers.journalists.org/jobs/11620937/programmer
Life Sciences Librarian,George Mason University,"Fairfax, Virginia",1 Month Ago,https://careers.journalists.org/jobs/11460030/life-sciences-librarian
Communications Specialist,Society for Neuroscience,"Washington, D.C.",4 Weeks Ago,https://careers.journalists.org/jobs/11526981/communications-specialist
Editorial Manager,Community Associations Institute (CAI),"Falls Church, Virginia",1 Week Ago,https://careers.journalists.org/jobs/11585626/editorial-manager
"Chief Communications Officer, UCLA Hammer Museum",UCLA,"Los Angeles, California",1 Year Ago,https://careers.journalists.org/jobs/10333254/chief-communications-officer-ucla-hammer-museum
Associate Professor - Critical Journalism Studies,"University of California, San Diego","La Jolla, California",4 Months Ago,https://careers.journalists.org/jobs/11163429/associate-professor-critical-journalism-studies
Assistant Professor - Critical Journalism Studies,"University of California, San Diego","La Jolla, California",3 Months Ago,https://careers.journalists.org/jobs/11241901/assistant-professor-critical-journalism-studies
Bioinfo. Software Eng I,Memorial Sloan-Kettering Cancer Center,"New York, New York",4 Months Ago,https://careers.journalists.org/jobs/11180301/bioinfo-software-eng-i
Bioinfo Software Engineer II,Memorial Sloan-Kettering Cancer Center,"New York, New York",3 Months Ago,https://careers.journalists.org/jobs/11221560/bioinfo-software-engineer-ii
"Manager, Research",Campaign for Tobacco-Free Kids,"Washingotn, D.C.",2 Days Ago,https://careers.journalists.org/jobs/11618088/manager-research
SOFTWARE DEVELOPER (SENIOR COMPUTER SPECIALIST),University of Washington,"Seattle, Washington",10 Months Ago,https://careers.journalists.org/jobs/10516446/software-developer-senior-computer-specialist
Assistant Professor in Computer and Information Science (CIS) - F19,University of Michigan - Dearborn,"Dearborn, Michigan",Today,https://careers.journalists.org/jobs/11625640/assistant-professor-in-computer-and-information-science-cis-f19
Assistant Professor in Computer and Information Science (CIS) - Software Engineering F19,University of Michigan - Dearborn,"Dearborn, Michigan",Today,https://careers.journalists.org/jobs/11625642/assistant-professor-in-computer-and-information-science-cis-software-engineering-f19
Director of External Programming (Academic Coord II)  Institute of Governmental Studies (IGS),University of California Berkeley,"Berkeley, California",3 Weeks Ago,https://careers.journalists.org/jobs/11542425/director-of-external-programming-academic-coord-ii-institute-of-governmental-studies-igs
"Application Specialist (SQL, JavaScript, Web Development, C#, HURON, ERA)",Memorial Sloan-Kettering Cancer Center,"New York, New York",3 Months Ago,https://careers.journalists.org/jobs/11257293/application-specialist-sql-javascript-web-development-c-huron-era
Teaching Assistant Professor in Interactive Design for Media,West Virginia University,"Morgantown, West Virginia",1 Week Ago,https://careers.journalists.org/jobs/11602507/teaching-assistant-professor-in-interactive-design-for-media
"Reporter, Virginia (15016)",American University,"Washington, D.C.",2 Months Ago,https://careers.journalists.org/jobs/11408834/reporter-virginia-15016
"Specialist, Communications","University of Nevada, Reno","Reno, Nevada",4 Weeks Ago,https://careers.journalists.org/jobs/11523278/specialist-communications
Communications & Volunteer Program Coordinator,Mills College,"Oakland, California",1 Month Ago,https://careers.journalists.org/jobs/11483285/communications-volunteer-program-coordinator
"Associate Director, Analytics",Massachusetts Institute of Technology (MIT),"Cambridge, Massachusetts",3 Weeks Ago,https://careers.journalists.org/jobs/11548317/associate-director-analytics
Android Developer,Dow Jones & Co,Wan Chai Area,14 hours ago,https://hk.jobsdb.com/hk/en/job/android-developer-100003006587113
Journalist – Financial Publishing,Initiative Recruitment Hong Kong Limited,Not Specified,22 hours ago,https://hk.jobsdb.com/hk/en/job/journalist-financial-publishing-100003006584609
"Manager, External Relations (Ref. M(ER))",Urban Renewal Authority,Not Specified,22-Oct-18,https://hk.jobsdb.com/hk/en/job/manager-external-relations-100003006577393
"Lead Manager, Media Relations (Corporate Development Division) (Ref: CDD213/JDB/221018)",Hong Kong Productivity Council,Not Specified,22-Oct-18,https://hk.jobsdb.com/hk/en/job/lead-manager-media-relations-100003006575784
"Manager, Communications & Public Affairs (English Editorial)",Hong Kong Trade Development Council,Wan Chai Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/manager-communications-public-affairs-100003006572010
Content Expert,Telum Media HK Limited,Eastern Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/content-expert-100003006571840
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006567298
Media Relations Executive,Hong Kong Trade Development Council,Wan Chai Area,18-Oct-18,https://hk.jobsdb.com/hk/en/job/media-relations-executive-100003006566789
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,18-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006567297
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,12-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006553498
"Deputy Manager, Communications & Public Affairs",Hong Kong Trade Development Council,Wan Chai Area,11-Oct-18,https://hk.jobsdb.com/hk/en/job/deputy-manager-communications-public-affairs-100003006552008
Investor & Media Relations Consultant / Senior Consultant,PRChina Limited,Central & Western Area,09-Oct-18,https://hk.jobsdb.com/hk/en/job/investor-media-relations-consultant-senior-consultant-100003006544401
Contract Assistant Editor (4 months contract),Adsale Exhibition Services Ltd,Eastern Area,08-Oct-18,https://hk.jobsdb.com/hk/en/job/contract-assistant-editor-100003006542446
Marketing Officer,Dining Workshop (Hong Kong) Limited,Sham Shui Po Area,08-Oct-18,https://hk.jobsdb.com/hk/en/job/marketing-officer-100003006541917
Assistant Marketing Manager (Event & PR),Ztore HK Limited,Sham Shui Po Area,05-Oct-18,https://hk.jobsdb.com/hk/en/job/assistant-marketing-manager-100003006539422
SUB-EDITOR,Phoenix Satellite Television Co Ltd,Tai Po Area,05-Oct-18,https://hk.jobsdb.com/hk/en/job/sub-editor-100003006535457
Senior Reporter - Financial Journalism,Initiative Recruitment Hong Kong Limited,Not Specified,05-Oct-18,https://hk.jobsdb.com/hk/en/job/senior-reporter-financial-journalism-100003006531611
Sr. Media Relations Executive,Global Sources,Southern Area,02-Oct-18,https://hk.jobsdb.com/hk/en/job/sr-media-relations-executive-100003006525635
Regional Director of Public Relations,Langham Hotels International Ltd,Wan Chai Area,28-Sep-18,https://hk.jobsdb.com/hk/en/job/regional-director-of-public-relations-100003006518733
Relationship Manager //Strong Japanese // International Finance Firm// up to 30K //Good Benefits,RGF HR Agent Hong Kong Limited,Central & Western Area,27-Sep-18,https://hk.jobsdb.com/hk/en/job/relationship-manager-strong-japanese-international-finance-firm-100003006513516
Audience Development Executive,PR Newswire Asia Limited,Wan Chai Area,27-Sep-18,https://hk.jobsdb.com/hk/en/job/audience-development-executive-100003006513293
